sn,emd,old,new,reason
24,선산,선산읍 원리 100-3,,no_result
42,선산,포상1리 진입로,,no_result
45,선산,이문리 704,,no_result
74,고아,고아읍 문성리 26-1,,no_result
75,고아,고아읍 문성리 89,,no_result
78,고아,고아읍 원호리 478,,no_result
85,고아,문성리 800,,no_result
95,고아,원대로 822-205,,no_result
96,고아,원대로 689-3,,no_result
98,고아,대망1리 96,,no_result
99,고아,대망1리 822-3,,no_result
108,산동,산동면 임천리 109-5,,no_result
134,산동,인덕리 산20-12,,no_result
136,산동,첨단기업1로 6,,no_result
138,산동,임천리 584-4,,no_result
143,산동,인덕리 1087,,no_result
144,산동,신당리 291-12,,no_result
145,산동,인덕리 산36-3,,no_result
152,산동,신당리 1152,,no_result
153,산동,신당리 361,,no_result
154,산동,신당리 산 94,,no_result
155,산동,신당리 356,,no_result
193,무을,백자리 126,,no_result
217,옥성,구봉리 369-10,,no_result
219,옥성,대원리 입구,,no_result
220,옥성,덕촌1리 초입,,no_result
221,옥성,초곡리 초입,,no_result
230,도개,석적읍 도개리 441-2,,no_result
237,도개,궁기리 783,,no_result
257,해평,원호3길,,no_result
261,해평,습문천 복개주차장,,no_result
262,해평,해평리 211-3,,no_result
273,장천,장천면 신장리 1018,신장6길 51-8,no_result
290,장천,군위군 효령면 산 143,,no_result
291,장천,상장3리 848-2,,no_result
337,원평1,금오산로 36,,no_result
339,원평1,중앙로 25길 7,,no_result
359,원평2,문장로 13-18,,no_result
366,지산,,,no_match
407,도량,도량동 784-4,,no_result
415,도량,개화6길7-1(추가),,no_result
469,선주원남,봉곡e편한세상 근처,,no_result
490,형곡1,형곡동 65,신시로 131,no_result
591,비산,공단동 110,수출대로 3길 100,no_result
599,비산,공단1동 334-2,,no_result
611,공단,공단로 256-20,1공단로 9길 30-2,no_result
691,상모사곡,한신휴플러스 옆길,,no_result
784,인동,수출대로 528,,no_result
813,임오,오태동 3길 84,,no_result
878,진미,진평길 87~75-1,,no_result
890,진미,전자공고앞,,no_result
920,양포,구포동 688,,no_result
925,양포,양포동 358-3,,no_result
